Name,Height,Weight,Preferred Foot,Birth Date,Age,Nation,Preferred Positions,OVR,POT,Value,Wage,Ball Control,Dribbling,Marking,Slide Tackle,Stand Tackle,Aggression,Reactions,Att. Position,Interceptions,Vision,Composure,Crossing,Short Pass,Long Pass,Acceleration,Stamina,Strength,Balance,Sprint Speed,Agility,Jumping,Heading,Shot Power,Finishing,Long Shots,Curve,FK Acc.,Penalties,Volleys,GK Positioning,GK Diving,GK Handling,GK Kicking,GK Reflexes
Erling Haaland ,195 cm,94 kg,Left,"July 21, 2000",23,Norway,ST,91,94,157.000.000,340.000,82,79,None,29,47,87,94,96,43,74,87,47,77,53,82,76,93,72,94,76,93,83,94,96,86,77,62,84,90,11,7,14,13,7
Kylian Mbappé ,182 cm,75 kg,Right,"Dec. 20, 1998",24,France,"ST, LW",91,94,153.500.000,225.000,92,93,None,32,34,64,93,93,38,83,89,78,86,71,98,88,77,82,97,93,88,73,90,94,83,80,69,84,85,11,13,5,7,6
Kevin De Bruyne ,181 cm,75 kg,Right,"June 28, 1991",32,Belgium,"CM, CAM",91,91,103.000.000,350.000,92,86,None,53,70,75,92,88,66,95,88,95,94,94,72,88,74,78,72,74,72,55,92,85,92,92,83,83,83,10,15,13,5,13
Harry Kane ,188 cm,85 kg,Right,"July 28, 1993",30,England,ST,90,90,119.500.000,170.000,87,82,None,38,46,80,93,94,42,87,92,80,87,88,67,83,84,73,71,66,87,89,93,95,87,82,65,92,89,14,8,10,11,11
Thibaut Courtois ,199 cm,96 kg,Left,"May 11, 1992",31,Belgium,GK,90,90,63.000.000,250.000,23,13,None,16,18,23,88,13,15,44,66,14,33,35,42,38,70,45,52,63,68,13,57,14,17,19,20,27,12,90,85,89,76,93
Robert Lewandowski ,185 cm,81 kg,Right,"Aug. 21, 1988",35,Poland,ST,90,90,58.000.000,340.000,90,86,None,19,42,81,93,94,49,81,88,76,84,70,76,76,89,83,75,77,92,91,91,93,84,79,85,90,89,8,15,6,12,10
Karim Benzema ,185 cm,81 kg,Right,"Dec. 19, 1987",35,France,"CF, ST",90,90,51.000.000,95.000,91,87,None,18,24,63,92,92,39,90,90,75,89,76,78,82,82,72,79,77,85,90,87,91,81,82,73,85,88,5,13,11,5,7
Lionel Messi ,169 cm,67 kg,Left,"June 24, 1987",36,Argentina,"CF, CAM",90,90,41.000.000,23.000,93,96,None,24,35,44,88,91,40,92,96,83,91,90,87,70,68,95,74,91,71,60,83,89,90,93,93,75,86,14,6,11,15,8
Rúben Dias ,187 cm,82 kg,Right,"May 14, 1997",26,Portugal,CB,89,90,97.500.000,250.000,75,64,None,87,91,93,89,39,86,51,81,54,83,76,54,78,90,56,69,60,84,87,74,29,26,46,48,45,32,7,7,8,13,12
Vini Jr. ,176 cm,73 kg,Right,"July 12, 2000",23,Brazil,LW,89,94,121.500.000,310.000,90,92,None,18,25,58,86,87,26,81,79,78,80,77,95,84,64,84,95,94,74,50,76,89,80,77,62,65,72,7,5,7,7,10
Rodri ,191 cm,82 kg,Right,"June 22, 1996",27,Spain,"CDM, CM",89,90,97.000.000,250.000,88,79,None,78,87,83,89,75,84,82,85,63,89,90,54,89,83,64,62,65,80,81,91,64,82,65,61,62,59,14,10,10,7,8
Alisson ,193 cm,91 kg,Right,"Oct. 2, 1992",31,Brazil,GK,89,90,68.500.000,180.000,42,27,None,16,19,27,87,13,11,66,66,17,60,58,60,32,78,37,49,40,82,29,64,13,14,19,18,23,20,90,86,85,86,89
Mohamed Salah ,175 cm,71 kg,Left,"June 15, 1992",31,Egypt,RW,89,89,85.500.000,260.000,86,88,None,41,43,63,93,92,55,84,90,80,84,77,89,87,75,91,89,89,80,59,82,92,84,84,69,81,83,11,14,14,9,14
Virgil van Dijk ,193 cm,92 kg,Right,"July 8, 1991",32,Netherlands,CB,89,89,70.500.000,220.000,76,70,None,86,91,85,88,47,88,65,89,53,79,86,66,72,93,50,87,59,89,86,81,52,64,60,70,62,45,11,13,10,13,11
Casemiro ,185 cm,84 kg,Right,"Feb. 23, 1992",31,Brazil,CDM,89,89,72.000.000,235.000,79,69,None,88,89,91,90,77,89,79,85,68,84,85,60,88,88,65,66,61,85,84,88,69,81,77,74,66,68,12,13,14,16,12
Marc-André ter Stegen ,187 cm,85 kg,Right,"April 30, 1992",31,Germany,GK,89,89,54.500.000,225.000,30,21,None,10,13,43,85,11,22,70,70,18,61,63,45,35,78,43,50,39,72,11,67,14,10,18,12,25,14,86,86,85,89,91
Neymar Jr ,175 cm,68 kg,Right,"Feb. 5, 1992",31,Brazil,LW,89,89,85.500.000,115.000,94,95,None,29,32,63,88,86,37,90,93,83,85,81,88,78,51,83,85,93,72,63,79,83,81,88,87,91,86,15,9,9,15,11
Federico Valverde ,182 cm,78 kg,Right,"July 22, 1998",25,Uruguay,"CM, RW",88,92,104.500.000,270.000,88,83,None,79,85,81,89,86,83,86,84,78,87,88,84,89,80,68,91,77,80,59,89,79,87,74,69,59,70,15,6,10,6,8
Victor Osimhen ,185 cm,78 kg,Right,"Dec. 29, 1998",24,Nigeria,ST,88,91,107.000.000,120.000,86,83,None,22,45,68,89,90,34,70,80,62,74,54,87,81,86,68,92,78,94,84,86,91,77,63,52,75,83,9,14,14,10,6
Bernardo Silva ,173 cm,64 kg,Left,"Aug. 10, 1994",29,Portugal,"CM, RW",88,88,91.500.000,270.000,91,92,None,60,76,78,89,85,73,87,89,84,91,82,78,93,54,92,61,95,66,54,79,78,79,84,67,68,78,12,9,10,14,9
Joshua Kimmich ,177 cm,75 kg,Right,"Feb. 8, 1995",28,Germany,"CDM, RB, CM",88,89,80.500.000,130.000,85,82,None,78,84,88,88,80,85,85,86,91,88,91,77,94,68,84,65,84,78,72,78,68,83,85,76,69,69,15,8,15,7,15
Bruno Fernandes ,179 cm,69 kg,Right,"Sept. 8, 1994",29,Portugal,"CAM, CM",88,88,92.000.000,260.000,88,81,None,65,74,84,91,88,66,94,82,87,90,92,74,95,66,79,68,78,73,66,88,83,88,86,85,90,87,8,12,14,15,14
Ederson ,188 cm,86 kg,Left,"Aug. 17, 1993",30,Brazil,GK,88,89,62.500.000,205.000,40,23,None,8,15,38,87,20,27,70,70,20,61,65,64,44,78,48,63,60,79,14,68,14,18,15,20,51,18,86,86,82,91,86
Jan Oblak ,188 cm,87 kg,Right,"Jan. 7, 1993",30,Slovenia,GK,88,88,61.000.000,90.000,30,12,None,18,14,36,85,11,24,67,68,13,43,40,42,42,78,48,53,64,72,15,59,11,12,13,14,11,13,86,85,90,78,87
Antoine Griezmann ,176 cm,73 kg,Left,"March 21, 1991",32,France,"ST, CF",88,88,74.000.000,135.000,89,88,None,60,63,74,90,90,57,88,89,82,89,86,80,86,69,84,80,89,85,85,85,90,87,89,85,79,85,13,14,8,14,14
Gregor Kobel ,195 cm,88 kg,Right,"Dec. 6, 1997",26,Switzerland,GK,87,90,64.500.000,65.000,34,24,None,15,15,24,85,10,14,59,66,13,39,33,38,30,81,29,52,37,71,13,56,10,10,13,12,12,10,85,86,84,74,89
Lautaro Martínez ,174 cm,72 kg,Right,"Aug. 22, 1997",26,Argentina,ST,87,90,90.000.000,150.000,86,84,None,44,31,90,88,91,45,78,86,59,75,73,83,80,84,89,77,86,93,86,85,90,78,78,54,74,91,8,11,8,8,13
Gianluigi Donnarumma ,196 cm,90 kg,Right,"Feb. 25, 1999",24,Italy,GK,87,90,68.000.000,90.000,30,28,None,16,14,30,84,14,26,60,65,12,36,34,50,34,72,38,55,64,71,12,59,13,18,12,14,24,8,83,90,82,80,89
Frenkie de Jong ,181 cm,74 kg,Right,"May 12, 1997",26,Netherlands,"CM, CDM",87,90,86.500.000,240.000,89,87,None,77,76,74,88,77,82,88,90,78,91,89,80,89,74,79,83,87,82,72,68,72,66,84,64,53,70,10,7,13,10,9
Martin Ødegaard ,178 cm,68 kg,Left,"Dec. 17, 1998",24,Norway,"CAM, CM",87,90,92.000.000,170.000,89,86,None,54,55,64,84,83,66,89,86,85,90,87,74,81,56,82,71,85,66,55,82,82,83,83,85,63,79,8,14,15,15,10
Mike Maignan ,191 cm,89 kg,Right,"July 3, 1995",28,France,GK,87,89,61.000.000,90.000,40,31,None,19,16,35,85,15,25,65,68,18,65,61,50,39,78,56,53,41,75,17,65,15,20,38,16,15,16,85,85,82,87,89
Marquinhos ,183 cm,75 kg,Right,"May 14, 1994",29,Brazil,CB,87,88,66.500.000,140.000,80,69,None,88,89,81,86,70,89,76,86,68,84,85,76,83,78,67,81,68,89,88,65,59,46,58,32,52,35,10,6,6,12,13
Heung Min Son ,183 cm,78 kg,Right,"July 8, 1992",31,Korea Republic,LW,87,87,77.000.000,170.000,82,87,None,33,34,62,89,90,39,81,87,83,82,72,85,88,64,74,88,81,78,68,88,89,89,87,74,73,79,6,11,13,13,10
Luka Modrić ,172 cm,66 kg,Right,"Sept. 9, 1985",38,Croatia,CM,87,87,25.000.000,190.000,90,84,None,72,73,62,85,76,80,91,92,86,91,92,75,83,58,92,70,92,67,55,79,72,82,85,78,83,76,14,13,9,7,9
Manuel Neuer ,193 cm,93 kg,Right,"March 27, 1986",37,Germany,GK,87,87,2.000.000,55.000,46,30,None,11,10,29,84,12,30,70,70,15,60,68,48,43,80,35,50,51,77,25,68,13,16,14,11,47,11,88,84,85,90,84
Jamal Musiala ,184 cm,72 kg,Right,"Feb. 26, 2003",20,Germany,"CAM, CM, LM",86,93,76.500.000,80.000,89,94,None,68,63,59,86,81,65,82,84,67,82,77,84,78,53,92,86,93,65,49,73,79,75,69,51,55,70,8,6,9,8,11
Ronald Araujo ,188 cm,79 kg,Right,"March 7, 1999",24,Uruguay,"CB, RB",86,91,68.500.000,175.000,68,55,None,86,86,87,84,56,85,59,76,58,76,66,71,73,87,55,85,56,90,85,61,56,35,47,45,43,38,11,11,14,9,8
Jude Bellingham ,186 cm,75 kg,Right,"June 29, 2003",20,England,"CM, CAM",86,91,76.000.000,175.000,86,87,None,77,79,85,87,83,82,84,83,66,87,86,77,93,75,79,75,81,79,69,78,81,77,73,56,64,71,5,14,11,10,8
Pedri ,174 cm,60 kg,Right,"Nov. 25, 2002",21,Spain,CM,86,92,76.000.000,165.000,88,87,None,65,77,62,87,79,73,88,87,68,88,86,81,87,73,90,76,88,73,50,68,72,68,79,62,53,56,8,12,7,11,8
Khvicha Kvaratskhelia ,183 cm,70 kg,Right,"Feb. 12, 2001",22,Georgia,"LW, RW",86,92,80.000.000,95.000,88,89,None,34,39,62,84,84,40,86,82,78,83,76,83,79,70,73,84,85,77,62,78,82,83,82,65,65,64,14,9,15,8,8
Bukayo Saka ,178 cm,65 kg,Left,"Sept. 5, 2001",22,England,"RW, RM",86,90,80.000.000,150.000,87,89,None,60,62,68,85,82,62,83,80,83,81,69,88,84,63,86,82,85,70,45,78,83,79,81,69,82,79,9,7,8,13,13
Rafael Leão ,188 cm,81 kg,Right,"June 10, 1999",24,Portugal,"LW, CF, ST",86,91,78.500.000,110.000,87,89,None,21,24,60,84,84,24,75,83,78,80,63,93,77,80,80,93,85,85,65,80,84,74,80,60,63,74,11,10,12,15,9
Sandro Tonali ,181 cm,79 kg,Right,"May 8, 2000",23,Italy,"CDM, CM",86,89,69.500.000,140.000,85,78,None,81,84,84,83,75,84,80,84,78,85,83,81,86,82,83,86,81,84,70,82,69,83,75,81,64,68,7,13,9,8,7
Éder Militão ,186 cm,78 kg,Right,"Jan. 18, 1998",25,Brazil,CB,86,89,65.500.000,210.000,72,70,None,85,87,84,85,64,86,59,74,69,78,76,82,85,79,62,88,70,92,87,62,48,42,60,40,60,34,12,11,8,15,15
Matthijs de Ligt ,189 cm,89 kg,Right,"Aug. 12, 1999",24,Netherlands,CB,86,89,68.500.000,85.000,73,65,None,88,85,86,85,44,82,45,82,52,79,78,62,75,91,62,70,53,88,85,84,50,75,48,55,40,45,12,12,11,11,10
Christopher Nkunku ,175 cm,73 kg,Right,"Nov. 14, 1997",26,France,"CF, CAM, ST",86,88,76.500.000,185.000,88,89,None,54,64,59,85,86,64,84,81,81,85,80,81,78,64,90,82,88,74,61,80,86,78,82,80,67,70,15,5,6,10,7
Ousmane Dembélé ,178 cm,67 kg,Left,"May 15, 1997",26,France,"RW, LW",86,87,74.000.000,150.000,87,89,None,33,30,54,80,80,36,84,81,86,80,76,94,68,52,81,93,90,65,43,83,75,76,82,64,75,77,10,6,6,14,13
Trent Alexander-Arnold ,180 cm,69 kg,Right,"Oct. 7, 1998",25,England,RB,86,88,71.500.000,140.000,84,78,None,78,83,69,84,78,83,90,82,93,88,91,73,89,66,72,79,72,74,69,83,62,75,87,85,55,63,6,14,15,14,7
Nicolò Barella ,175 cm,68 kg,Right,"Feb. 7, 1997",26,Italy,CM,86,88,73.500.000,135.000,87,81,None,81,79,84,89,84,83,83,86,79,86,83,79,94,73,90,78,90,73,53,77,78,79,79,67,73,80,14,11,5,13,11
Sergej Milinković-Savić ,192 cm,95 kg,Right,"Feb. 27, 1995",28,Serbia,CM,86,86,68.000.000,85.000,87,85,None,74,79,79,84,82,79,83,84,71,86,86,66,91,87,63,70,62,88,86,83,82,81,81,78,59,74,16,7,10,7,7
Andrew Robertson ,178 cm,64 kg,Left,"March 11, 1994",29,Scotland,LB,86,86,59.500.000,170.000,83,81,None,81,83,85,85,80,83,82,83,87,82,76,82,95,65,74,78,75,77,67,76,55,65,82,71,55,32,7,11,8,10,14
N'Golo Kanté ,168 cm,70 kg,Right,"March 29, 1991",32,France,"CDM, CM",86,86,45.000.000,75.000,81,78,None,85,90,89,89,72,88,77,84,68,80,74,74,84,70,92,64,78,70,54,71,64,65,49,49,54,56,7,15,12,10,10
Paulo Dybala ,177 cm,75 kg,Left,"Nov. 15, 1993",30,Argentina,"CF, CAM",86,86,68.000.000,130.000,93,90,None,39,41,43,79,82,42,91,79,82,86,79,84,72,60,90,76,88,73,58,84,83,89,89,88,87,90,5,5,4,4,8
João Cancelo ,182 cm,74 kg,Right,"May 27, 1994",29,Portugal,"LB, RB",86,86,59.500.000,195.000,86,85,None,79,83,76,84,81,81,85,85,87,87,79,86,88,62,78,77,79,80,72,80,69,79,87,69,52,62,14,6,9,15,14
Sadio Mané ,174 cm,69 kg,Right,"April 10, 1992",31,Senegal,"CF, LM, ST",86,86,57.500.000,85.000,86,87,None,38,42,75,88,85,35,83,84,78,83,71,84,79,70,88,85,87,85,79,85,85,78,77,64,75,75,7,10,10,15,14
Parejo ,182 cm,74 kg,Right,"April 16, 1989",34,Spain,"CM, CDM",86,86,31.500.000,65.000,86,81,None,71,73,59,79,81,80,90,85,86,92,90,53,75,70,72,46,62,66,61,81,83,88,88,91,88,72,14,5,9,12,8
İlkay Gündoğan ,180 cm,80 kg,Right,"Oct. 24, 1990",33,Germany,"CM, CDM",86,86,53.500.000,225.000,91,86,None,67,75,70,86,84,75,86,87,77,88,84,65,75,73,77,60,77,67,50,79,82,80,86,80,80,75,5,11,14,5,13
Wojciech Szczęsny ,195 cm,90 kg,Right,"April 18, 1990",33,Poland,GK,86,86,22.000.000,125.000,22,11,None,12,13,40,82,14,15,48,65,12,32,36,51,45,65,51,47,55,70,16,55,12,14,16,14,18,14,86,86,83,73,87
Toni Kroos ,183 cm,76 kg,Right,"Jan. 4, 1990",33,Germany,"CM, CDM",86,86,42.000.000,240.000,88,80,None,60,70,68,88,74,80,89,88,88,92,92,55,75,72,71,48,63,61,58,89,76,85,86,84,73,82,7,10,11,13,10
Cristiano Ronaldo ,187 cm,85 kg,Right,"Feb. 5, 1985",38,Portugal,ST,86,86,23.000.000,65.000,86,77,None,24,31,62,87,90,29,76,92,76,76,70,72,77,75,61,80,76,93,87,92,87,85,79,75,90,83,14,7,11,15,11
Florian Wirtz ,177 cm,71 kg,Right,"May 3, 2003",20,Germany,"CAM, CM",85,91,60.500.000,65.000,89,87,None,44,57,63,85,80,45,88,83,77,88,81,78,83,53,85,70,86,59,39,74,78,75,80,64,60,73,6,14,14,13,10
Bruno Guimarães ,182 cm,74 kg,Right,"Nov. 16, 1997",26,Brazil,"CM, CDM",85,87,59.500.000,155.000,85,85,None,79,84,84,85,78,84,86,87,70,87,85,69,87,78,83,72,78,76,64,78,73,78,79,62,65,66,11,7,11,15,11
Rodrygo ,174 cm,64 kg,Right,"Jan. 9, 2001",22,Brazil,"RW, LW, ST",85,91,63.500.000,210.000,87,86,None,30,34,53,84,82,21,82,83,79,80,73,89,81,55,84,88,87,75,67,76,87,77,80,73,82,67,8,9,8,12,5
Jules Koundé ,180 cm,75 kg,Right,"Nov. 12, 1998",25,France,"CB, RB",85,89,54.500.000,160.000,77,72,None,84,86,78,86,47,86,62,82,62,82,75,85,78,80,74,83,71,90,80,48,47,40,42,26,43,32,14,11,10,8,13
Phil Foden ,171 cm,69 kg,Left,"May 28, 2000",23,England,"LW, RW",85,90,62.000.000,180.000,90,88,None,47,59,64,81,83,59,84,81,78,86,82,86,83,47,91,77,91,63,47,83,81,78,75,68,64,59,10,8,15,6,13
Alessandro Bastoni ,190 cm,75 kg,Left,"April 13, 1999",24,Italy,CB,85,90,54.500.000,95.000,76,73,None,84,87,83,86,39,87,69,84,70,78,82,68,81,83,58,77,58,86,83,49,26,37,53,36,47,35,11,11,5,9,12
Declan Rice ,185 cm,80 kg,Right,"Jan. 14, 1999",24,England,"CDM, CM",85,87,55.000.000,130.000,79,80,None,82,84,84,83,58,86,78,83,55,83,84,67,91,79,65,74,55,79,72,78,61,65,68,65,71,50,5,8,11,14,9
Theo Hernández ,184 cm,81 kg,Left,"Oct. 6, 1997",26,France,"LB, LM",85,90,54.500.000,90.000,79,83,None,80,81,82,85,80,78,73,80,84,79,68,92,90,81,76,94,78,90,74,83,67,71,69,64,50,66,7,12,10,7,7
Marcus Rashford ,186 cm,70 kg,Right,"Oct. 31, 1997",26,England,"LW, LM, ST",85,88,60.000.000,185.000,84,86,None,33,38,69,86,87,39,79,82,78,79,72,88,76,73,73,91,81,87,76,93,86,80,84,78,85,74,7,11,6,15,14
André Onana ,190 cm,93 kg,Right,"April 2, 1996",27,Cameroon,GK,85,86,41.500.000,130.000,38,26,None,14,18,32,84,11,15,64,64,15,43,53,62,38,79,53,60,66,80,20,66,12,17,30,17,27,13,84,83,80,88,85
Diogo Jota ,178 cm,68 kg,Right,"Dec. 4, 1996",27,Portugal,"CF, LW",85,87,60.000.000,180.000,84,85,None,45,57,85,88,87,56,78,80,73,77,72,85,79,71,85,80,86,90,87,86,85,76,77,58,69,79,9,7,12,15,11
Marcos Acuña ,172 cm,69 kg,Left,"Oct. 28, 1991",32,Argentina,"LB, LM",85,85,39.000.000,46.000,84,82,None,84,85,83,84,80,81,82,86,86,84,77,76,91,82,90,75,83,80,61,83,66,81,88,75,76,67,13,8,14,13,14
Giovanni Di Lorenzo ,183 cm,83 kg,Right,"Aug. 4, 1993",30,Italy,RB,85,85,47.500.000,85.000,79,78,None,81,83,78,84,71,83,66,77,80,80,74,85,90,78,78,85,78,88,76,72,66,69,69,69,59,60,10,8,10,8,7
Kingsley Coman ,181 cm,75 kg,Right,"June 13, 1996",27,France,"LM, RM",85,85,57.500.000,100.000,87,88,None,21,27,38,85,83,23,82,78,81,80,74,92,69,66,84,86,92,79,61,83,75,73,83,70,65,78,3,5,3,5,5
Aymeric Laporte ,191 cm,85 kg,Left,"May 27, 1994",29,Spain,CB,85,86,45.000.000,70.000,78,65,None,85,86,79,86,54,87,68,84,58,83,81,55,67,82,54,65,57,82,85,68,45,47,61,69,44,40,14,10,11,5,5
Domenico Berardi ,183 cm,72 kg,Left,"Aug. 1, 1994",29,Italy,"RW, RM",85,85,54.500.000,40.000,87,86,None,30,30,85,85,86,25,83,78,78,85,79,82,78,64,87,82,92,75,62,83,85,80,78,75,76,78,5,5,6,5,6
Thomas Partey ,185 cm,77 kg,Right,"June 13, 1993",30,Ghana,"CDM, CM",85,85,45.000.000,150.000,84,84,None,79,85,84,82,70,82,85,87,74,86,86,60,79,84,50,74,63,77,68,86,66,78,69,70,49,56,9,11,13,9,7
Yassine Bounou ,195 cm,78 kg,Left,"April 5, 1991",32,Morocco,GK,85,85,26.500.000,55.000,12,20,None,15,18,25,81,10,12,62,57,15,39,44,38,43,69,29,37,47,66,14,59,14,19,12,19,24,13,84,82,83,79,87
Leon Goretzka ,189 cm,82 kg,Right,"Feb. 6, 1995",28,Germany,"CM, CDM",85,85,54.000.000,170.000,84,84,None,76,83,82,85,84,85,82,82,75,85,83,75,83,89,73,80,75,92,86,85,81,86,76,73,60,71,11,13,8,15,9
Hakan Çalhanoğlu ,178 cm,76 kg,Right,"Feb. 8, 1994",29,Turkey,"CM, CDM",85,85,52.500.000,130.000,88,85,None,65,70,76,86,74,76,88,85,78,88,87,72,80,55,79,62,83,64,53,86,75,87,85,85,81,74,6,9,14,11,10
Jack Grealish ,180 cm,81 kg,Right,"Sept. 10, 1995",28,England,"LW, LM",85,85,57.500.000,200.000,90,89,None,48,54,65,84,82,49,87,88,83,85,81,79,83,71,85,74,84,71,48,76,76,79,83,74,58,72,10,11,6,11,13
Antonio Rüdiger ,190 cm,85 kg,Right,"March 3, 1993",30,Germany,CB,85,85,44.000.000,200.000,71,64,None,83,84,91,83,49,82,61,78,68,80,82,71,70,91,50,91,56,90,81,84,40,67,50,56,40,34,12,14,15,10,8
Riyad Mahrez ,179 cm,67 kg,Left,"Feb. 21, 1991",32,Algeria,"RM, RW",85,86,43.000.000,65.000,91,89,None,22,31,48,84,84,39,84,81,80,83,75,84,75,57,88,74,91,70,56,82,81,82,85,80,73,76,11,15,9,13,6
John Stones ,188 cm,76 kg,Right,"May 28, 1994",29,England,"CB, RB",85,86,45.000.000,180.000,84,75,None,84,86,80,86,52,84,78,87,63,86,79,67,74,77,59,76,66,84,84,55,54,44,52,37,52,44,10,7,15,11,8
Emiliano Martínez ,195 cm,88 kg,Right,"Sept. 2, 1992",31,Argentina,GK,85,85,36.000.000,100.000,38,17,None,20,20,37,82,12,13,66,62,22,57,59,59,40,70,49,57,49,77,26,62,16,16,22,20,42,13,84,83,83,82,85
Raphaël Varane ,191 cm,81 kg,Right,"April 25, 1993",30,France,CB,85,85,44.000.000,120.000,76,61,None,83,87,78,86,55,85,59,82,42,78,76,75,65,84,39,83,62,90,85,52,46,53,46,52,43,42,5,11,11,9,14
David Alaba ,180 cm,78 kg,Left,"June 24, 1992",31,Austria,"CB, LB",85,85,37.000.000,200.000,85,77,None,83,84,78,88,73,87,78,85,83,89,80,79,73,78,78,79,76,86,77,82,63,78,77,85,79,67,15,5,7,14,9
Keylor Navas ,185 cm,80 kg,Right,"Dec. 15, 1986",36,Costa Rica,GK,85,85,1.400.000,60.000,30,24,None,14,14,32,80,16,22,64,63,11,40,37,54,39,75,61,53,60,73,11,56,15,13,21,15,25,11,84,84,80,75,87
Iago Aspas ,176 cm,67 kg,Left,"Aug. 1, 1987",36,Spain,ST,85,85,23.000.000,38.000,87,87,None,18,21,63,86,88,39,81,85,80,80,73,78,69,60,72,84,87,79,77,81,90,80,79,83,82,84,12,12,16,9,13
Ciro Immobile ,185 cm,85 kg,Right,"Feb. 20, 1990",33,Italy,ST,85,85,34.500.000,90.000,80,77,None,32,33,73,85,90,40,71,76,55,79,57,84,73,74,84,86,75,88,81,86,91,80,70,58,88,85,12,6,8,15,6
Kevin Trapp ,189 cm,84 kg,Right,"July 8, 1990",33,Germany,GK,85,85,26.500.000,50.000,24,10,None,10,14,30,83,12,22,46,64,13,25,12,43,45,75,37,50,42,69,11,58,13,13,14,12,17,12,85,83,81,77,86
Kieran Trippier ,173 cm,71 kg,Right,"Sept. 19, 1990",33,England,RB,85,85,37.500.000,150.000,85,76,None,81,84,75,85,77,83,85,84,92,84,86,73,85,64,79,64,66,79,79,82,54,71,87,87,66,58,11,11,14,8,10
Sven Botman ,193 cm,81 kg,Left,"Jan. 12, 2000",23,Netherlands,CB,84,87,42.500.000,120.000,74,63,None,84,84,87,83,45,82,59,77,43,79,76,54,70,90,34,75,57,84,81,65,24,37,47,28,37,27,6,12,9,8,14
Gabriel Martinelli ,178 cm,75 kg,Right,"June 18, 2001",22,Brazil,"LW, LM",84,88,49.500.000,145.000,84,89,None,43,44,80,82,82,39,79,79,79,79,65,91,82,63,81,88,87,82,72,77,83,73,74,68,62,78,6,10,6,7,6
Dušan Vlahović ,190 cm,75 kg,Left,"Jan. 28, 2000",23,Serbia,ST,84,88,49.500.000,140.000,85,81,None,25,26,69,85,86,24,68,80,57,71,59,77,79,88,53,83,63,91,79,85,88,82,75,79,79,78,11,5,15,6,10
